DATAFLOW,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00206(1.0),A,GDIVRT,SK,2009,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,SK,2010,2.2,
ESTAT:TPS00206(1.0),A,GDIVRT,SK,2011,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,SK,2012,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,SK,2013,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,SK,2014,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,SK,2015,1.8,
ESTAT:TPS00206(1.0),A,GDIVRT,SK,2016,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,SK,2017,1.8,
ESTAT:TPS00206(1.0),A,GDIVRT,SM,2006,2.8,
ESTAT:TPS00206(1.0),A,GDIVRT,SM,2007,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,SM,2008,2.2,
ESTAT:TPS00206(1.0),A,GDIVRT,SM,2011,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,SM,2012,1.5,
ESTAT:TPS00206(1.0),A,GDIVRT,TR,2006,1.3,
ESTAT:TPS00206(1.0),A,GDIVRT,TR,2007,1.3,
ESTAT:TPS00206(1.0),A,GDIVRT,TR,2008,1.4,
ESTAT:TPS00206(1.0),A,GDIVRT,TR,2009,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,TR,2010,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,TR,2011,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,TR,2012,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,TR,2013,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,TR,2014,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,TR,2015,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,TR,2016,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,TR,2017,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,UA,2006,3.8,
ESTAT:TPS00206(1.0),A,GDIVRT,UA,2007,3.8,
ESTAT:TPS00206(1.0),A,GDIVRT,UA,2008,5.3,
ESTAT:TPS00206(1.0),A,GDIVRT,UA,2009,3.2,
ESTAT:TPS00206(1.0),A,GDIVRT,UA,2010,2.8,
ESTAT:TPS00206(1.0),A,GDIVRT,UA,2011,1.4,
ESTAT:TPS00206(1.0),A,GDIVRT,UA,2012,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,UA,2015,3.0,
ESTAT:TPS00206(1.0),A,GDIVRT,UA,2016,3.1,
ESTAT:TPS00206(1.0),A,GDIVRT,UA,2017,3.0,
ESTAT:TPS00206(1.0),A,GDIVRT,UK,2006,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,UK,2007,2.3,
ESTAT:TPS00206(1.0),A,GDIVRT,UK,2008,2.2,
ESTAT:TPS00206(1.0),A,GDIVRT,UK,2009,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,UK,2010,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,UK,2011,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,UK,2012,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,UK,2013,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,UK,2014,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,UK,2015,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,UK,2016,1.8,
ESTAT:TPS00206(1.0),A,GDIVRT,XK,2006,0.7,
